id,title,title_fr,slug,path,country,latlng,source,type
locations:lbn_a3_0014,"Aadaysseh Marjaayoun",,[lbn],"[lbn,lbn_a1_07,lbn_a2_19]",,"{""lat"":33.24797232, ""lng"":35.53852386}",OCHA,node
locations:lbn_a3_0015,"Aadchit Ech-Chqif",,[lbn],"[lbn,lbn_a1_07,lbn_a2_13]",,"{""lat"":33.34622067, ""lng"":35.41676744}",OCHA,node
locations:lbn_a3_0016,"Aadchit El-Qoussair",,[lbn],"[lbn,lbn_a1_07,lbn_a2_19]",,"{""lat"":33.27544503, ""lng"":35.47887685}",OCHA,node
locations:lbn_a3_0017,Aadloun,,[lbn],"[lbn,lbn_a1_09,lbn_a2_21]",,"{""lat"":33.39312424, ""lng"":35.26556893}",OCHA,node
locations:lbn_a3_0018,Aadous,,[lbn],"[lbn,lbn_a1_02,lbn_a2_04]",,"{""lat"":34.02543477, ""lng"":36.15562624}",OCHA,node
locations:lbn_a3_0019,Aadoussiyeh,,[lbn],"[lbn,lbn_a1_09,lbn_a2_21]",,"{""lat"":33.47211321, ""lng"":35.33651988}",OCHA,node
locations:lbn_a3_0020,Aafsdiq,,[lbn],"[lbn,lbn_a1_08,lbn_a2_10]",,"{""lat"":34.33076744, ""lng"":35.78727718}",OCHA,node
locations:lbn_a3_0021,"Aain Aalaq",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.9188697, ""lng"":35.65803957}",OCHA,node
locations:lbn_a3_0022,"Aain Aanoub",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.79236288, ""lng"":35.53925087}",OCHA,node
locations:lbn_a3_0023,"Aain Aar",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.92242163, ""lng"":35.64303268}",OCHA,node
locations:lbn_a3_0024,"Aain Aarab Marjaayoun",,[lbn],"[lbn,lbn_a1_07,lbn_a2_19]",,"{""lat"":33.29986583, ""lng"":35.62353046}",OCHA,node
locations:lbn_a3_0025,"Aain Aarab Rachaiya",,[lbn],"[lbn,lbn_a1_04,lbn_a2_20]",,"{""lat"":33.57945858, ""lng"":35.8870737}",OCHA,node
